instance,p,n,configLB,configNodeSel,configOB,solved,YN,cpuTotal,nbLpSolved,cpuInitialization,cpuCplex,cpuUpdatePolyhedron,nbNodes,minDepth,maxDepth,avgDepth,nbFathomedInfeas,nbFathomedOptimality,nbFathomedDominance,cpuDominanceTest,cpuUbUpdate,cpuLbComputation,cpuComputeOb,cpuVarSel,cpuNodeSel
Kirlik14-ILP_p-3_n-10_m-5_ins-6.dat,3,10,LP,breadth,fullOB,1,2,0.222695,1245,0.0473954,0.153164,0.00584412,127,2,12,7.54688,34,3,27,6.4697e-05,0.000145398,0.211395,7.2504e-05,0.000512298,1.5501e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-6.dat,3,10,LP,breadth,noOB,1,2,0.236109,1312,0.0530785,0.161561,0.00651641,127,2,12,7.54688,26,4,34,8.6195e-05,0.000161296,0.226625,3.0103e-05,0.000470508,1.4903e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-6.dat,3,10,LP,depth,coneOB,1,2,0.26149,1448,0.0552386,0.182988,0.00691247,169,2,14,8.89412,58,5,22,7.2899e-05,0.000212403,0.251376,2.3194e-05,0.000602505,1.5097e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-6.dat,3,10,LP,depth,fullOB,1,2,0.280844,1448,0.0618911,0.195422,0.00684258,169,2,14,8.89412,58,5,22,9.8904e-05,0.000212491,0.27123,0.000130402,0.000674098,2.1292e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-6.dat,3,10,LP,depth,noOB,1,2,0.298273,1677,0.0706134,0.201403,0.0075417,181,2,14,9.04396,44,8,39,5.4909e-05,0.000220999,0.286823,3.3198e-05,0.000601395,1.6983e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-6.dat,3,10,WLP,breadth,coneOB,1,2,0.207804,1065,0.0090075,0.17364,0.00913386,127,2,12,7.54688,34,3,27,7.3696e-05,0.00014179,0.196982,1.5496e-05,0.00221469,2.0705e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-6.dat,3,10,WLP,breadth,fullOB,1,2,0.232424,1062,0.0123134,0.191347,0.00967102,129,2,12,7.62121,38,2,26,0.000101299,0.00019171,0.219297,0.000108894,0.0027592,2.7913e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-6.dat,3,10,WLP,breadth,noOB,1,2,0.213658,1114,0.0104329,0.171157,0.00974831,127,2,12,7.54688,26,4,34,5.5605e-05,0.000175303,0.196529,2.1695e-05,0.0021659,1.951e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-6.dat,3,10,WLP,depth,coneOB,1,2,0.238798,1209,0.0108977,0.195085,0.0102721,169,2,14,8.89412,58,5,22,8.0395e-05,0.000204896,0.2228,2.4994e-05,0.00299949,1.8887e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-6.dat,3,10,WLP,depth,fullOB,1,2,0.239075,1206,0.0098441,0.195301,0.00947978,171,2,14,8.91954,62,4,21,7.6607e-05,0.000252298,0.221117,0.000138099,0.0035535,1.7103e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-6.dat,3,10,WLP,depth,noOB,1,2,0.292593,1389,0.0136206,0.243009,0.0119175,181,2,14,9.04396,44,8,39,6.1907e-05,0.000258902,0.27702,3.26e-05,0.0032158,2.2892e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-7.dat,3,10,LP,breadth,coneOB,1,30,1.85977,10408,0.321506,1.37611,0.0552795,1079,2,21,13.6056,455,36,49,0.0014801,0.00167731,1.79832,0.000197906,0.0051044,0.000188167
Kirlik14-ILP_p-3_n-10_m-5_ins-7.dat,3,10,LP,breadth,fullOB,1,30,1.80858,10346,0.311229,1.32239,0.053171,1131,2,21,13.5111,507,36,42,0.0014776,0.0016197,1.73528,0.00100652,0.0052869,0.000183017
Kirlik14-ILP_p-3_n-10_m-5_ins-7.dat,3,10,LP,breadth,noOB,1,30,2.15953,13076,0.374502,1.61224,0.067226,1151,2,21,13.7361,357,56,163,0.000827287,0.0018028,2.09974,0.000196192,0.0042388,0.000147891
Kirlik14-ILP_p-3_n-10_m-5_ins-7.dat,3,10,LP,depth,coneOB,1,30,1.63396,8963,0.285693,1.20786,0.0460866,937,2,21,13.6013,398,36,35,0.0013017,0.001382,1.57716,0.00023668,0.00540569,8.7796e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-7.dat,3,10,LP,depth,fullOB,1,30,1.59756,8825,0.281807,1.16956,0.0453604,997,2,21,13.3602,458,37,27,0.0013697,0.0014468,1.53566,0.00153389,0.00551308,9.1619e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-7.dat,3,10,LP,depth,noOB,1,30,1.98215,10980,0.341801,1.47513,0.0582209,1005,2,21,13.9304,319,60,124,0.000998712,0.00168001,1.92022,0.000166192,0.00360888,8.9469e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-7.dat,3,10,WLP,breadth,coneOB,1,30,1.46954,7549,0.044211,1.22754,0.0705186,1079,2,21,13.6056,455,36,49,0.00149078,0.00150979,1.38729,0.00021619,0.0242608,0.00027282
Kirlik14-ILP_p-3_n-10_m-5_ins-7.dat,3,10,WLP,breadth,fullOB,1,30,1.47519,7587,0.0418504,1.2189,0.0708227,1131,2,21,13.5111,507,36,42,0.00156368,0.00164851,1.37835,0.000978922,0.025562,0.000346876
